Title,Opening Date,Theatre ID,Theatre Name (from Show Info),Production Type,Intermissions,Show Type,Show ID,Year,Closing Date,N Performances,Other Titles,Previews Date,Running Time,Official Website,Show Type Simple,Show Never Opened,Run Time,Revival,Pre-Broadway,Limited Run,Repertory
Better Late than Never!,1859-10-26,5703,Thèåtre Français10/26/1859 - ? New Opera House,,1.0,Musical,3493,1859,1859-12-31,,,,,,Musical,False,,,,,
The Bohemian Girl,1859-06-06,7414,Niblo's Garden,Revival,1.0,Opera,3631,1859,1859-06-11,5,"The Bohemian Girl, or, the Merry Zingara (full title)",,,,Opera,False,,True,,True,True
Chamooni III,1859-10-19,5090,Winter Garden Theatre,Original Production,1.0,Musical,3919,1859,,,,,,,Musical,False,,False,,True,True
Cinderella,1859-06-15,5731,Laura Keene's Varieties,,1.0,Burlesque,4015,1859,1859-07-04,11,,,,,Burlesque,False,,,,,
Diamond Cut Diamond,1859-10-12,5703,,,1.0,Musical,4243,1859,,,,,,,Musical,False,,,,,
Going it Blind,1859-10-31,7545,Wallack's Lyceum Theatre,Original Production,1.0,Musical,4837,1859,1899-11-09,9,,,,,Musical,False,,False,,,
The Invisible Prince,1859-07-11,5731,Laura Keene's Varieties,Revival,1.0,,5233,1859,1859-07-13,3,,,,,,False,,True,,,
Lalla Rookh,1859-06-18,7545,Wallack's Lyceum Theatre,Original Production,1.0,Musical,5527,1859,1859-08-20,30,"Lalla Rookh, or, the Fire Worshippers (full title)",,,,Musical,False,,False,,,
Love's Labor Lost,1859-11-08,7563,New Opera House,Original Production,1.0,Musical,5745,1859,1859-12-31,,,,,,Musical,False,,False,,True,True
Masaniello,1859-06-27,5731,Laura Keene's Varieties,,1.0,Musical,5917,1859,,12,,,,,Musical,False,,,,,
Massaniello,1859-06-27,5731,Laura Keene's Varieties,Original Production,1.0,Musical,5925,1859,1829-07-09,12,"Massaniello, Hero and Martyr of Italian Liberty (full title)",,,,Musical,False,,False,,,
Ne'er too Late to Mend,1859-11-17,7563,New Opera House,Original Production,1.0,Musical,6195,1859,1859-12-31,,,,,,Musical,False,,False,,True,True
Never Despair,1859-10-19,5703,Thèåtre Français10/19/1859 - ? New Opera House,Original Production,1.0,Opera,6206,1859,1858-12-31,,,,,,Opera,False,,False,,True,True
Never Judge by Appearances,1959-10-12,5703,,Original Production,1.0,Musical,6208,1859,,,,,,,Musical,False,,False,,True,True
Toinette et Son Carabinier,1859-10-13,5703,,Original Production,1.0,Musical,7578,1859,1859-10-15,2,,,,,Musical,False,,False,,True,True
The Waterman,1859-06-01,7414,Niblo's Garden,Revival,1.0,Operetta,7770,1859,1859-06-02,2,"The Waterman, or, the First of August (full title)",,,,Musical,False,,True,,,
Oliver Twist,1860-02-14,7543,Old Winter Garden Theatre,Original Production,,Play,313378,1860,,,,,,,Play,False,,False,,,
The Colleen Bawn,1860-03-29,5731,Laura Keene's Varieties,Original Production,,Play,313439,1860,,,,,,,Play,False,,False,,,
The Royalist,1860-09-13,7556,Wallack's Theatre,Original Production,,Play,313583,1860,,,,,,,Play,False,,False,,,
The Romance of a Poor Young Man,1860-01-24,5658,Burton's Chamber Street Theatre,,,Unknown,317807,1860,,64,,,,,Unknown,False,,,,,
The Bronze Donkey,1860-05-07,5673,New Bowery Theatre,Original Production,,Musical,322352,1860,1860-05-19,12,,,,,Musical,False,,False,,,
Blue Beard,1860-05-07,7414,Niblo's Garden,Original Production,1.0,Opera,3596,1860,1860-05-19,16,"Blue Beard, or, the Punishment of Curiosity (full title)",,,,Opera,False,,False,,,
The Invisible Prince,1860-05-16,5731,Laura Keene's Varieties,Revival,1.0,,5234,1860,1860-06-02,18,,,,,,False,,True,,True,True
Jenny Lind,1860-06-04,5731,Laura Keene's Varieties,Original Production,1.0,,5309,1860,1860-06-30,24,,,,,,False,,False,,True,True
Our Japanese Embassy,1860-06-04,5731,Laura Keene's Varieties,,1.0,,6459,1860,1860-06-30,24,,,,,,False,,,,,
The Seven Sisters,1860-11-26,5731,Laura Keene's Varieties,Original Production,1.0,Opera,7077,1860,,253,,,,,Opera,False,,False,,,
The Tycoon,1860-06-02,5731,Laura Keene's Varieties,Original Production,1.0,Burlesque,7665,1860,1860-07-21,18,"The Tycoon, or, Young America in Japan (full title)",,,,Burlesque,False,,False,,,
The New President,1861-09-25,7556,Wallack's Theatre,Original Production,,Play,312636,1861,,,,,,,Play,False,,False,,,
The Seven Sisters,1861-09-23,5731,Laura Keene's Varieties,Original Production,,Opera,322271,1861,1861-12-21,96,,,,,Opera,False,,False,,,
Cinderella,1861-09-09,5090,Winter Garden Theatre,Original Production,1.0,Musical,4017,1861,1861-10-05,24,,,,,Musical,False,,False,,,
